Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.3,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,0.11,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2765,Crustaceans,2012,2012,kcal/capita/day,11,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2765,Crustaceans,2013,2013,kcal/capita/day,8,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,2.17,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,1.66,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.11,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.09,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2766,Cephalopods,2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2766,Cephalopods,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2012,2012,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0.15,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0.13,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2762,Demersal Fish,2012,2012,kcal/capita/day,5,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2762,Demersal Fish,2013,2013,kcal/capita/day,4,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,1.06,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,0.88,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,0.06,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,0.05,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2012,2012,kcal/capita/day,49,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2013,2013,kcal/capita/day,56,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,6.2,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,7.33,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,2.38,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,2.7,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2012,2012,kcal/capita/day,19,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2013,2013,kcal/capita/day,17,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,3.33,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,2.95,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,0.56,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.51,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2765,Crustaceans,2012,2012,kcal/capita/day,2,Fc,Calculated data
