"","Country","Commodity","Flow","Unit","X","Year","Quantity"," F"
"169","Antigua and Barbuda","Salmonoids, fresh or chilled, nei","Imports","Tonnes","","2014","0",NA
"170","Antigua and Barbuda","Salmonoids, frozen","Imports","Tonnes","","2014","2",NA
"171","Antigua and Barbuda","Salmons nei, frozen","Imports","Tonnes","","2014","-",NA
"172","Antigua and Barbuda","Salmons, dried, whether or not salted, not smoked, nei","Imports","Tonnes","","2014","-",NA
"173","Antigua and Barbuda","Salmons, fresh or chilled, nei","Imports","Tonnes","","2014","4",NA
"174","Antigua and Barbuda","Salmons, salted or in brine","Imports","Tonnes","","2014","-",NA
"175","Antigua and Barbuda","Salmons, smoked","Imports","Tonnes","","2014","13",NA
"176","Antigua and Barbuda","Salmons, smoked","Reexports","Tonnes","","2014","-",NA
"177","Antigua and Barbuda","Sardines, sardinellas, brisling or sprats, fresh or chilled","Imports","Tonnes","","2014","-",NA
"178","Antigua and Barbuda","Sardines, sardinellas, brisling or sprats, frozen","Imports","Tonnes","","2014","5",NA
"179","Antigua and Barbuda","Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei","Imports","Tonnes","","2014","121",NA
"180","Antigua and Barbuda","Seabass, frozen","Imports","Tonnes","","2014","0",NA
"181","Antigua and Barbuda","Shark fins, dried, unsalted","Imports","Tonnes","","2014","-",NA
"182","Antigua and Barbuda","Sharks nei, fresh or chilled","Imports","Tonnes","","2014","-",NA
"183","Antigua and Barbuda","Sharks nei, frozen","Imports","Tonnes","","2014","-",NA
"184","Antigua and Barbuda","Skipjack tuna, frozen","Imports","Tonnes","","2014","-",NA
"185","Antigua and Barbuda","Sockeye salmon (red salmon)(Oncorhynchus nerka), frozen","Imports","Tonnes","","2014","3",NA
"186","Antigua and Barbuda","Soles, frozen, nei","Imports","Tonnes","","2014","0",NA
"187","Antigua and Barbuda","Southern bluefin tuna (Thunnus maccoyii), live","Imports","Tonnes","","2014","-",NA
"188","Antigua and Barbuda","Swordfish fillets, frozen","Imports","Tonnes","","2014","-",NA
"189","Antigua and Barbuda","Swordfish meat, frozen","Imports","Tonnes","","2014","4",NA
"190","Antigua and Barbuda","Swordfish, fresh or chilled","Exports","Tonnes","","2014","-",NA
"191","Antigua and Barbuda","Swordfish, fresh or chilled","Imports","Tonnes","","2014","-",NA
"192","Antigua and Barbuda","Swordfish, frozen","Imports","Tonnes","","2014","2",NA
"193","Antigua and Barbuda","Tilapia fillets, fresh or chilled","Imports","Tonnes","","2014","-",NA
"194","Antigua and Barbuda","Tilapia fillets, frozen","Imports","Tonnes","","2014","-",NA
"195","Antigua and Barbuda","Toothfish (Dissostichus spp.), fillets, frozen","Imports","Tonnes","","2014","-",NA
"196","Antigua and Barbuda","Trout fillets, fresh and chilled","Imports","Tonnes","","2014","-",NA
"197","Antigua and Barbuda","Trout fillets, frozen","Imports","Tonnes","","2014","-",NA
"198","Antigua and Barbuda","Trouts and chars live","Imports","Tonnes","","2014","-",NA
"199","Antigua and Barbuda","Trouts and chars, fresh or chilled","Exports","Tonnes","","2014","0",NA
"200","Antigua and Barbuda","Trouts and chars, fresh or chilled","Imports","Tonnes","","2014","-",NA
"201","Antigua and Barbuda","Trouts and chars, fresh or chilled","Reexports","Tonnes","","2014","0",NA
"202","Antigua and Barbuda","Trouts and chars, frozen","Imports","Tonnes","","2014","-",NA
"203","Antigua and Barbuda","Trouts and chars, smoked","Imports","Tonnes","","2014","-",NA
"204","Antigua and Barbuda","Trouts, salted or in brine","Imports","Tonnes","","2014","-",NA
"205","Antigua and Barbuda","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","-",NA
"206","Antigua and Barbuda","Tuna loins, prepared or preserved","Imports","Tonnes","","2014","-",NA
"207","Antigua and Barbuda","Tunas nei, frozen","Exports","Tonnes","","2014","-",NA
"208","Antigua and Barbuda","Tunas nei, frozen","Imports","Tonnes","","2014","-",NA
"209","Antigua and Barbuda","Tunas prepared or preserved, not minced, in oil","Imports","Tonnes","","2014","-",NA
"210","Antigua and Barbuda","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","-",NA
"211","Antigua and Barbuda","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","174",NA
"212","Antigua and Barbuda","Tunas prepared or preserved, not minced, nei","Reexports","Tonnes","","2014","-",NA
"213","Antigua and Barbuda","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"214","Antigua and Barbuda","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","-",NA
"215","Antigua and Barbuda","Tusk, dried, whether or not salted, but not smoked","Imports","Tonnes","","2014","-",NA
"216","Antigua and Barbuda","Yellowfin tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"217","Antigua and Barbuda","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","...",NA
"218","Antigua and Barbuda","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","8",NA
"219","Aruba","Alaska pollock, frozen","Imports","Tonnes","","2014","0",NA
"220","Aruba","Albacore (=Longfin tuna), fresh or chilled","Exports","Tonnes","","2014","-",NA
"221","Aruba","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","12",NA
"222","Aruba","Albacore (=Longfin tuna), frozen, nei","Exports","Tonnes","","2014","...",NA
"223","Aruba","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","98",NA
"224","Aruba","Anchovies, prepared or preserved, not minced","Exports","Tonnes","","2014","...",NA
"225","Aruba","Anchovies, prepared or preserved, not minced","Imports","Tonnes","","2014","4",NA
"226","Aruba","Anchovies, salted or in brine","Imports","Tonnes","","2014","0",NA
"227","Aruba","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes","","2014","-",NA
"228","Aruba","Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live","Imports","Tonnes","","2014","0",NA
"229","Aruba","Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled","Imports","Tonnes","","2014","...",NA
"230","Aruba","Atlantic and Danube salmons, fresh or chilled","Imports","Tonnes","","2014","1",NA
"231","Aruba","Atlantic herring, not minced, prep. or pres., nei","Imports","Tonnes","","2014","-",NA
"232","Aruba","Atlantic herring, smoked","Imports","Tonnes","","2014","-",NA
"233","Aruba","Atlantic mackerel prepared or preserved, not minced","Imports","Tonnes","","2014","-",NA
"234","Aruba","Atlantic salmon and Danube salmon, frozen","Imports","Tonnes","","2014","1",NA
"235","Aruba","Bigeye tuna, fresh or chilled","Imports","Tonnes","","2014","...",NA
"236","Aruba","Carps, eels and snakeheads, fillets, fresh or chilled","Exports","Tonnes","","2014","...",NA
"237","Aruba","Carps, eels and snakeheads, fillets, fresh or chilled","Imports","Tonnes","","2014","283",NA
"238","Aruba","Carps, eels and snakeheads, fillets, frozen","Exports","Tonnes","","2014","...",NA
"239","Aruba","Carps, eels and snakeheads, fillets, frozen","Imports","Tonnes","","2014","62",NA
"240","Aruba","Catfish fillets, fresh or chilled","Imports","Tonnes","","2014","1",NA
"241","Aruba","Catfish fillets, frozen","Imports","Tonnes","","2014","...",NA
"242","Aruba","Catfish, frozen","Imports","Tonnes","","2014","1",NA
"243","Aruba","Caviar","Imports","Tonnes","","2014","1",NA
"244","Aruba","Caviar and caviar substitutes","Imports","Tonnes","","2014","0",NA
"245","Aruba","Caviar substitutes","Imports","Tonnes","","2014","0",NA
"246","Aruba","Cod nei, fillets, frozen","Imports","Tonnes","","2014","0",NA
"247","Aruba","Cods nei, dried,  whether or not salted","Imports","Tonnes","","2014","8",NA
"248","Aruba","Cods nei, frozen","Imports","Tonnes","","2014","1",NA
"249","Aruba","Cods nei, salted or in brine","Imports","Tonnes","","2014","15",NA
"250","Aruba","Cods, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"251","Aruba","Cods, fresh or chilled, nei","Imports","Tonnes","","2014","...",NA
"252","Aruba","Cods, not minced, prepared or preserved","Imports","Tonnes","","2014","-",NA
"253","Aruba","Eels and elvers live","Imports","Tonnes","","2014","-",NA
"254","Aruba","Eels, fresh or chilled","Imports","Tonnes","","2014","...",NA
"255","Aruba","Eels, frozen","Imports","Tonnes","","2014","...",NA
"256","Aruba","European plaice, frozen","Imports","Tonnes","","2014","0",NA
"257","Aruba","European sardine, prepared or preserved, not minced, in oil","Imports","Tonnes","","2014","-",NA
"258","Aruba","European sardine, prepared or preserved, not minced, nei","Imports","Tonnes","","2014","-",NA
"259","Aruba","Fish body oils, nei","Imports","Tonnes","","2014","6",NA
"260","Aruba","Fish dried, whether or not salted, nei","Exports","Tonnes","","2014","0",NA
"261","Aruba","Fish dried, whether or not salted, nei","Imports","Tonnes","","2014","3",NA
"262","Aruba","Fish fillets, dried, salted or in brine, nei","Exports","Tonnes","","2014","0",NA
"263","Aruba","Fish fillets, dried, salted or in brine, nei","Imports","Tonnes","","2014","2",NA
"264","Aruba","Fish fillets, fresh or chilled, nei","Exports","Tonnes","","2014","0",NA
"265","Aruba","Fish fillets, fresh or chilled, nei","Imports","Tonnes","","2014","8",NA
"266","Aruba","Fish fillets, frozen, nei","Exports","Tonnes","","2014","-",NA
"267","Aruba","Fish fillets, frozen, nei","Imports","Tonnes","","2014","76",NA
"268","Aruba","Fish fillets, prep. or pres, incl. raw, coated in batter or breadcrum, cooked or not, frozen","Imports","Tonnes","","2014","-",NA
"269","Aruba","Fish live, nei","Exports","Tonnes","","2014","-",NA
"270","Aruba","Fish live, nei","Imports","Tonnes","","2014","20",NA
"271","Aruba","Fish liver oils, nei","Exports","Tonnes","","2014","-",NA
"272","Aruba","Fish liver oils, nei","Imports","Tonnes","","2014","2",NA
