Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Antigua and Barbuda,Import,Other seaweeds and aquatic plants and products thereof,13,.,13,.,0,-,9,.,12,.,11,.,7,.
Antigua and Barbuda,Import,"Oysters, live fresh or chilled, nei",9,.,3,0,4,0,2,0,5,.,10,.,4,.
Antigua and Barbuda,Import,"Salmon nei, not minced, prepared or preserved",37,.,33,.,33,.,46,.,37,.,40,.,41,.
Antigua and Barbuda,Import,"Salmonoids, fresh or chilled, nei",2,0,7,0,5,0,3,0,14,0,4,0,0,0
Antigua and Barbuda,Import,"Salmonoids, frozen",1,0,9,.,1,0,14,.,18,.,30,.,39,.
Antigua and Barbuda,Import,"Salmons nei, frozen",0,-,23,.,55,.,0,-,0,-,0,-,0,-
Antigua and Barbuda,Import,"Salmons, fresh or chilled, nei",10,.,7,.,19,.,17,.,28,.,24,.,26,.
Antigua and Barbuda,Import,"Salmons, smoked",121,.,115,.,171,.,104,.,128,.,166,.,139,.
Antigua and Barbuda,Import,"Sardines, sardinellas, brisling or sprats, fresh or chilled",1,0,1,0,0,-,0,-,0,-,0,-,0,-
Antigua and Barbuda,Import,"Sardines, sardinellas, brisling or sprats, frozen",3,.,0,0,0,-,19,.,15,.,12,.,0,-
Antigua and Barbuda,Import,"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",475,.,378,.,521,.,372,.,339,.,381,.,356,.
Antigua and Barbuda,Import,"Scallops, live, fresh or chilled, nei",9,.,1,0,5,.,4,.,7,0,7,.,5,0
Antigua and Barbuda,Import,"Scallops, other than live, fresh or chilled",63,.,70,.,82,.,75,.,83,.,84,.,99,.
Antigua and Barbuda,Import,"Seabass, frozen",10,.,2,0,7,.,13,.,3,0,2,0,1,0
Antigua and Barbuda,Import,"Sharks nei, fresh or chilled",0,-,0,-,0,-,0,-,0,-,1,0,0,-
Antigua and Barbuda,Import,"Shrimps and prawns, frozen, nei",488,.,544,.,571,.,680,.,895,.,734,.,546,.
Antigua and Barbuda,Import,"Shrimps and prawns, not frozen, nei",0,0,3,0,0,0,1,0,1,.,0,0,0,0
Antigua and Barbuda,Import,"Shrimps, prawns, prepared or preserved, nei",130,.,169,.,158,.,123,.,143,.,135,.,171,.
Antigua and Barbuda,Import,"Sockeye salmon (red salmon)(Oncorhynchus nerka), frozen",0,.,0,.,0,-,10,.,14,.,14,.,8,.
Antigua and Barbuda,Import,"Soles, frozen, nei",2,0,4,0,2,0,0,-,0,0,2,0,5,0
Antigua and Barbuda,Import,"Swordfish fillets, frozen",0,.,0,.,0,-,35,.,0,-,0,-,0,-
Antigua and Barbuda,Import,"Swordfish meat, frozen",0,.,0,.,0,-,6,.,30,.,0,-,0,-
Antigua and Barbuda,Import,"Swordfish, fresh or chilled",0,.,0,.,0,-,1,0,0,-,0,-,0,-
Antigua and Barbuda,Import,"Swordfish, frozen",0,.,0,.,0,.,16,.,16,.,11,.,10,.
Antigua and Barbuda,Import,Trouts and chars live,0,0,0,-,0,-,0,-,0,-,1,0,0,-
Antigua and Barbuda,Import,"Trouts and chars, fresh or chilled",1,0,0,-,0,-,0,-,0,-,3,.,0,0
Antigua and Barbuda,Import,"Trouts and chars, frozen",2,.,1,0,0,-,0,-,0,-,0,-,0,-
Antigua and Barbuda,Import,"Tunas prepared or preserved, not minced, nei",421,.,481,.,604,.,534,.,442,.,488,.,444,.
Antigua and Barbuda,Import,"Yellowfin tuna, fresh or chilled",0,.,0,0,0,0,1,0,0,.,1,0,3,0
Antigua and Barbuda,Import,"Yellowfin tuna, frozen, nei",31,.,22,.,36,.,53,.,57,.,68,.,60,.
Antigua and Barbuda,Reexports,"Cods nei, dried,  whether or not salted",0,-,1,0,0,0,3,.,0,-,1,.,0,0
Antigua and Barbuda,Reexports,"Cods nei, salted or in brine",0,.,1,0,0,-,0,-,1,0,0,-,0,-
Antigua and Barbuda,Reexports,"Cuttlefish and squid, other than live, fresh or chilled",0,.,0,.,1,0,0,-,1,0,0,-,0,-
Antigua and Barbuda,Reexports,"Fish dried, whether or not salted, nei",0,-,0,-,0,-,0,0,22,.,2,.,0,-
Antigua and Barbuda,Reexports,"Fish liver oils, nei",0,.,0,.,0,.,0,.,0,.,0,.,3,0
Antigua and Barbuda,Reexports,"Fish nei, salted or in brine",0,.,7,0,2,0,0,.,0,.,1,0,0,-
Antigua and Barbuda,Reexports,"Flatfish nei, frozen",1,0,0,-,0,-,0,-,0,-,0,-,0,-
Antigua and Barbuda,Reexports,"Marine fish, frozen, nei",0,-,0,-,0,-,0,-,2,0,0,-,0,-
Antigua and Barbuda,Reexports,"Miscellaneous marine fish, salted or in brine, nei",0,-,0,-,0,-,0,-,1,.,0,-,1,.
Antigua and Barbuda,Reexports,"Miscellaneous molluscs, other than live, fresh or chilled, nei",0,.,0,.,0,.,0,.,0,.,9,.,0,-
