Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Aruba,Export,"Fish fillets, frozen, nei",2,.,0,0,0,-,23,.,0,-,0,-,0,-
Aruba,Export,"Livers, roes, milt, dried, salted or in brine, nei",0,.,0,.,0,.,0,.,0,0,2,.,5,F
Aruba,Export,Ornamental saltwater fish,0,.,0,.,0,.,0,.,0,.,0,.,10,.
Aruba,Export,"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",0,.,0,.,0,.,0,.,0,0,0,-,4,.
Aruba,Export,"Shark fins, dried, whether or not salted, etc.",0,.,0,.,0,.,0,0,1,F,1,F,0,.
Aruba,Export,"Tunas prepared or preserved, not minced, nei",1,.,0,-,0,-,0,-,0,0,0,0,0,0
Aruba,Export,"Tunas, fresh or chilled, nei",0,.,0,.,0,.,0,.,0,0,1,.,0,-
Aruba,Import,"Albacore (=Longfin tuna), fresh or chilled",26,.,6,.,5,.,5,.,12,.,22,.,13,.
Aruba,Import,"Albacore (=Longfin tuna), frozen, nei",52,.,54,.,44,.,46,.,98,.,114,.,49,.
Aruba,Import,"American/European lobsters (Homarus spp.), nei, frozen",26,.,30,.,32,.,44,.,61,.,51,.,46,.
Aruba,Import,"American/European lobsters (Homarus spp.), not frozen",12,.,14,.,16,.,20,.,26,.,25,.,28,.
Aruba,Import,"Anchovies, prepared or preserved, not minced",4,.,5,.,7,.,8,.,4,.,6,.,4,.
Aruba,Import,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",0,-,0,-,0,-,0,-,0,-,1,.,0,-
Aruba,Import,"Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,1,.
Aruba,Import,"Atlantic and Danube salmons, fresh or chilled",0,.,0,.,0,.,0,.,1,.,1,.,6,.
Aruba,Import,"Atlantic salmon and Danube salmon, frozen",0,.,0,.,0,0,0,.,1,.,0,-,2,.
Aruba,Import,"Carps, eels and snakeheads, fillets, fresh or chilled",0,.,0,.,0,.,0,.,283,.,295,.,341,.
Aruba,Import,"Carps, eels and snakeheads, fillets, frozen",0,.,0,.,0,.,0,.,62,.,44,.,39,.
Aruba,Import,"Catfish fillets, fresh or chilled",0,.,0,.,0,.,0,.,1,.,1,.,0,0
Aruba,Import,"Catfish fillets, frozen",0,.,0,.,0,.,0,.,0,.,0,.,9,.
Aruba,Import,"Catfish, frozen",0,.,0,.,0,.,0,.,1,.,7,.,0,-
Aruba,Import,Caviar,0,.,0,.,0,.,0,.,1,.,2,.,1,.
Aruba,Import,Caviar and caviar substitutes,1,.,3,.,2,.,3,.,0,0,0,-,0,-
Aruba,Import,Caviar substitutes,0,.,0,.,0,.,0,.,0,0,1,.,1,.
Aruba,Import,"Clams, cockles, arkshells, live, fresh or chilled",0,.,0,.,0,.,0,.,0,0,0,0,2,.
Aruba,Import,"Cod nei, fillets, frozen",0,.,0,.,0,.,0,.,0,0,0,0,1,.
Aruba,Import,"Cods nei, dried,  whether or not salted",15,.,15,.,9,.,5,.,8,.,6,.,4,.
Aruba,Import,"Cods nei, frozen",5,.,0,0,0,.,0,0,1,.,5,.,0,-
Aruba,Import,"Cods nei, salted or in brine",5,.,8,.,16,.,13,.,15,.,10,.,15,.
Aruba,Import,"Cods, fresh or chilled, nei",0,0,0,0,1,.,0,0,0,.,0,0,1,.
Aruba,Import,"Cold-water shrimps and prawns (Pandalus spp., Crangon spp.), whether in shell or not, frozen",0,.,0,.,0,.,0,.,0,0,1,.,48,.
Aruba,Import,"Crab meat nei, prepared or preserved",9,.,25,.,18,.,11,.,11,.,13,.,10,.
Aruba,Import,"Crabs nei, frozen",58,.,36,.,46,.,36,.,33,.,32,.,35,.
Aruba,Import,"Crabs, not frozen",4,.,2,.,14,.,9,.,10,.,4,.,2,.
Aruba,Import,"Crustaceans nei, frozen",24,.,14,.,16,.,12,.,13,.,14,.,18,.
Aruba,Import,"Crustaceans nei, prepared or preserved",17,.,18,.,43,.,54,.,97,.,109,.,113,.
Aruba,Import,"Cuttlefish and squid, other than live, fresh or chilled",49,.,65,.,71,.,63,.,89,.,86,.,80,.
Aruba,Import,"Cuttlefish and squid, prepared or preserved",0,.,0,.,0,.,0,.,2,.,0,0,3,.
Aruba,Import,"Cuttlefishes and squids, live, fresh or chilled, nei",26,.,21,.,18,.,5,.,8,.,7,.,4,.
Aruba,Import,"Eels, fresh or chilled",0,.,0,.,1,.,0,0,0,.,0,0,0,-
Aruba,Import,"Eels, frozen",0,0,0,0,0,.,0,.,0,.,7,.,0,-
Aruba,Import,"Fish body oils, nei",0,0,0,.,0,.,0,0,6,.,107,.,100,.
Aruba,Import,"Fish dried, whether or not salted, nei",5,.,2,.,1,.,0,0,3,.,3,.,19,.
Aruba,Import,"Fish fillets, dried, salted or in brine, nei",0,0,8,.,0,0,2,.,2,.,2,.,1,.
