Country (Country),Commodity (Commodity),Trade flow (Trade flow),Unit,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bahamas,"Dolphinfishes, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,0 0,...,...,...,0 0,0 0,1,4,21,35,16,40,16,31,60,50 F
Bahamas,"Miscellaneous pelagic fish fillets, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,...,...,...,0 0,0 0,0 0,0 0,0 0,0 0,...,0 0,0 0,-,-,-
Bahamas,"Miscellaneous pelagic fish, fillets, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,0 0,-,-,-,-,-,-,-,-,-
Bahamas,"Miscellaneous pelagic fish, nei, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,7,-,-,-,-,-,-,-
Bahamas,"Miscellaneous pelagic fish, nei, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,...,...,0 0,0 0,0 0,0 0,0 0,0 0,1,2,0 0,...,0 0,-
Bahamas,"Miscellaneous pelagic fish, nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,1,...,...,...,1,1,0 0,0 0,1,2,2,1,1,0 0,-,-
Bahamas,"Skipjack prepared or preserved, not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1059 F
Bahamas,"Skipjack tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,0 0,0 0,-,-
Bahamas,"Skipjack tuna, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,38 F
Bahamas,"Skipjack tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,0 0,-,-,-,-,0 0,-,-,-,-,-,-,-,-
