"","Country","Commodity","Flow","Unit","X","Year","Quantity"," F"
"272","Grenada","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"273","Grenada","Yellowfin tuna, frozen, nei","Exports","Tonnes","","2014","941",""
"274","Grenada","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","-",NA
"275","Grenada","Yellowfin tuna, heads-off, etc., frozen","Exports","Tonnes","","2014","-",NA
"276","Guadeloupe","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","...",NA
"277","Guadeloupe","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","...",NA
"278","Guadeloupe","Albacore (=Longfin tuna), gilled, gutted, frozen","Imports","Tonnes","","2014","...",NA
"279","Guadeloupe","Albacore (=Longfin tuna), heads-off, etc., frozen","Imports","Tonnes","","2014","...",NA
"280","Guadeloupe","Bonito (Sarda spp.), not minced, prepared or preserved, nei","Imports","Tonnes","","2014","...",NA
"281","Guadeloupe","Euthynnus excl. skipjack or stripe-bellied bonitos, fresh or chilled","Imports","Tonnes","","2014","...",NA
"282","Guadeloupe","Euthynnus excl. skipjack or stripe-bellied bonitos, frozen","Imports","Tonnes","","2014","...",NA
"283","Guadeloupe","Skipjack tuna, frozen","Imports","Tonnes","","2014","...",NA
"284","Guadeloupe","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","...",NA
