country,Direct _GDP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Cuba,Local currency in bn (Nominal prices),0.647406,0.723257,0.80454,0.932097,1.0286,1.01383,1.0376,1.08953,1.18091,1.26307,1.58764,1.69889,1.68577,1.72319,1.64332,1.64189,1.79544,1.78507,1.84995,1.86895,2.07519,2.1773,2.38897,2.54786,2.72242,2.93941,3.15216,3.37735,3.5917,3.8099,4.03141,4.28516,4.53658,4.79251,5.05052
Cuba,Local currency in bn (Real prices),1.10705,1.27071,1.43284,1.63865,1.74232,1.68792,1.7197,1.72747,1.81831,1.93306,2.4206,2.34697,2.24811,2.30598,2.18524,2.1574,2.26139,2.18467,2.20545,2.15352,2.31164,2.33597,2.46064,2.54786,2.64312,2.77068,2.89311,3.01829,3.12547,3.22819,3.32608,3.44249,3.54866,3.65031,3.74569
Cuba,Percentage growth,14.4864,14.783,12.7593,14.3638,6.32653,-3.12221,1.88257,0.452187,5.25819,6.31126,25.2207,-3.04185,-4.212,2.57404,-5.23586,-1.27415,4.82014,-3.39262,0.951172,-2.35466,7.34264,1.05257,5.33667,3.54474,3.73902,4.82587,4.41877,4.32705,3.55081,3.28676,3.03218,3.5,3.08411,2.86437,2.61307
Cuba,Percentage of GDP,2.71615,2.89106,3.17191,3.62167,3.6263,3.31687,3.275,3.24357,3.28935,3.30617,3.72304,3.22108,2.87655,2.83389,2.64711,2.55237,2.60247,2.44059,2.39792,2.31719,2.38163,2.42762,2.512,2.54957,2.59126,2.64513,2.67564,2.69676,2.70186,2.70935,2.71974,2.74991,2.7731,2.79492,2.81425
Cuba,US$ in bn (Nominal prices),0.647406,0.723257,0.80454,0.932097,1.0286,1.01383,1.0376,1.08953,1.18091,1.26307,1.58764,1.69889,1.68577,1.72319,1.64332,1.64189,1.79544,1.78507,1.84995,1.86895,2.07519,2.1773,2.38897,2.54786,2.72242,2.93941,3.15216,3.37735,3.5917,3.8099,4.03141,4.28516,4.53658,4.79251,5.05052
Cuba,US$ billion (real prices),1.10705,1.27071,1.43284,1.63865,1.74232,1.68792,1.7197,1.72747,1.81831,1.93306,2.4206,2.34697,2.24811,2.30598,2.18524,2.1574,2.26139,2.18467,2.20545,2.15352,2.31164,2.33597,2.46064,2.54786,2.64312,2.77068,2.89311,3.01829,3.12547,3.22819,3.32608,3.44249,3.54866,3.65031,3.74569
Dominican Republic,Local currency in bn (Nominal prices),10.3349,11.5459,14.9091,16.3053,18.966,22.1889,23.04,25.1719,46.5667,67.9388,58.7219,72.3832,75.6399,81.546,85.5978,84.2168,95.9844,106.89,122.709,141.524,160.792,179.007,196.664,216.734,232.313,251.482,270.363,289.611,311.276,335.549,362.206,389.204,418.714,450.614,483.896
Dominican Republic,Local currency in bn (Real prices),53.6168,57.9113,68.8201,71.0044,79.8136,87.3377,86.2805,89.3735,123.724,124.324,104.638,122.374,120.983,118.198,119.876,111.814,117.945,125.013,137.048,154.891,174.836,192.958,204.5,216.734,223.378,232.51,240.352,247.561,255.847,265.19,275.247,284.387,294.183,304.418,314.329
Dominican Republic,Percentage growth,7.02784,8.0097,18.8371,3.17381,12.4065,9.42715,-1.21046,3.58475,38.4342,0.48542,-15.8344,16.9495,-1.13687,-2.30126,1.41924,-6.72557,5.48394,5.99228,9.62703,13.0197,12.8767,10.3649,5.98193,5.98206,3.06564,4.08798,3.37299,2.99916,3.347,3.65183,3.7925,3.32068,3.44442,3.47926,3.25568
Dominican Republic,Percentage of GDP,4.58114,4.6187,5.08195,4.89974,5.16105,5.34523,5.18669,5.07866,7.04846,6.99095,5.38516,5.69067,5.18644,4.90755,4.93064,4.24651,4.34276,4.47984,4.68396,4.91826,5.18743,5.37007,5.44301,5.41427,5.31474,5.27115,5.19526,5.10491,5.03507,4.98386,4.94335,4.88435,4.8353,4.79154,4.73909
